id,lang_tgt,severity,mqm_score,num_template_qs,num_srl_qs,num_diff_qs,num_atomic_qs,num_questions,num_mismatches,askqe_score
doc4_row1123_row84,de,Minor,99,5,1,0,7,13,0,1.0
doc4_row1242_row85,de,No Error,100,0,1,2,4,7,3,0.6666666666666666
doc4_row1451_row86,de,No Error,100,13,3,4,2,22,11,0.5862068965517241
doc56_row1364_row87,de,Minor,99,2,3,0,4,9,0,1.0
doc4_row607_row88,de,No Error,100,1,0,0,0,1,0,1.0
doc81_row859_row89,de,No Error,100,2,1,2,5,10,2,0.8235294117647058
doc4_row595_row90,de,Major,95,3,1,4,2,10,4,0.7575757575757576
doc56_row738_row91,de,No Error,100,4,1,0,1,6,0,1.0
doc4_row937_row92,de,No Error,100,4,1,3,9,17,3,0.9032258064516129
doc56_row1361_row93,de,No Error,100,9,2,3,3,17,7,0.6363636363636364
doc35_row1156_row94,de,Minor,99,3,1,3,2,9,3,0.7931034482758621
doc81_row2_row95,de,No Error,100,2,4,4,4,14,6,0.6458333333333334
doc4_row1563_row96,de,No Error,100,3,1,0,1,5,0,1.0
doc11_row74_row97,de,No Error,100,2,1,2,5,10,4,0.6764705882352942
doc44_row694_row98,de,Minor,99,4,3,0,4,11,0,1.0
doc56_row1470_row99,de,No Error,100,8,3,4,5,20,6,0.7901234567901234
doc63_row4297_row100,es,Critical,75,1,1,4,5,11,6,0.5263157894736842
doc61_row4161_row101,es,Minor,98,2,4,4,6,16,4,0.7857142857142857
doc42_row1514_row102,es,No Error,100,3,1,3,10,17,4,0.8305084745762712
doc42_row1289_row103,es,Minor,99,6,2,4,7,19,6,0.6666666666666666
doc42_row1287_row104,es,Minor,99,4,1,0,2,7,0,1.0
doc61_row3923_row105,es,No Error,100,5,1,1,2,9,1,0.9230769230769231
doc7_row107_row106,es,Critical,74,11,3,2,5,21,3,0.8681318681318682
doc71_row4349_row107,es,No Error,100,1,1,0,1,3,0,1.0
doc61_row4407_row108,es,Minor,99,0,1,4,9,14,3,0.875
doc5_row4417_row109,es,Minor,99,0,1,0,2,3,0,1.0
doc72_row4940_row110,es,No Error,100,1,2,2,5,10,1,0.9459459459459459
doc7_row3964_row111,es,Major,95,11,3,2,5,21,7,0.7157894736842105
doc55_row4443_row112,es,No Error,100,2,1,0,1,4,0,1.0
doc72_row4307_row113,es,Minor,96,19,3,0,6,28,0,1.0
doc7_row1787_row114,es,No Error,100,1,1,0,2,4,0,1.0
doc5_row4248_row115,es,Minor,97,0,0,0,2,2,0,1.0
doc55_row4274_row116,es,No Error,100,5,3,0,7,15,0,1.0
doc72_row4941_row117,es,No Error,100,2,1,0,2,5,0,1.0
doc6_row1881_row118,es,Minor,98,8,1,0,3,12,1,0.94
doc42_row756_row119,es,Major,94,8,2,0,3,13,0,1.0
doc63_row4061_row120,es,Minor,96,3,4,2,6,15,1,0.9298245614035088
doc47_row1990_row121,es,No Error,100,0,1,0,2,3,0,1.0
doc42_row655_row122,es,Critical,75,2,0,1,0,3,1,0.8461538461538461
doc6_row1606_row123,es,No Error,100,0,2,1,2,5,1,0.8947368421052632
doc55_row4436_row124,es,Minor,98,0,1,3,5,9,4,0.6
doc55_row1170_row125,es,Minor,99,0,1,0,3,4,0,1.0
doc42_row982_row126,es,Critical,75,2,0,1,0,3,1,0.5384615384615384
doc72_row4392_row127,es,Minor,95,19,3,0,6,28,0,1.0
doc63_row4214_row128,es,Minor,97,5,3,1,5,13,1,0.9166666666666666
doc42_row873_row129,es,No Error,100,4,1,1,2,8,1,0.9459459459459459
doc55_row1279_row130,es,Major,60,1,1,3,9,14,4,0.7959183673469388
doc47_row4325_row131,es,Major,91,4,2,4,8,18,3,0.8688524590163934
doc98_row4281_row132,es,Minor,98,2,1,1,7,11,0,1.0
